id,name,type,description,range,firepower,rangedStrength,ap,damage,attackModifier,strengthModifier,initiativeModifier,specialRules,specialRuleValues,traits,profiles
plasma-cannon-maximal-fire,Maximal fire,ranged-profile,Plasma shooty shooty,36,1,6,4,1,,,,"[""heavy"",""blast"",""breaching"",""overload""]","{""heavy"":""RS"",""blast"":3,""breaching"":5,""overload"":2}","[""Plasma""]","[]"
gravis-plasma-cannon-sustained-fire,Sustained fire,ranged-profile,Plasma shooty shooty,36,1,7,4,1,,,,"[""heavy"",""blast"",""breaching""]","{""heavy"":""RS"",""blast"":5,""breaching"":6}","[""Plasma""]","[]"
gravis-plasma-cannon-maximal-fire,Maximal fire,ranged-profile,Plasma shooty shooty,36,1,7,4,2,,,,"[""heavy"",""blast"",""breaching"",""overload""]","{""heavy"":""RS"",""blast"":5,""breaching"":5,""overload"":1}","[""Plasma""]","[]"
plasma-blaster-sustained-fire,Sustained fire,ranged-profile,Plasma shooty shooty,18,2,7,4,1,,,,"[""breaching""]","{""breaching"":6}","[""Plasma""]","[]"
plasma-blaster-maximal-fire,Maximal fire,ranged-profile,Plasma shooty shooty,18,2,8,4,1,,,,"[""breaching"",""overload""]","{""breaching"":5,""overload"":1}","[""Plasma""]","[]"
hellfire-plasma-cannonade-sustained-fire,Maximal fire,ranged-profile,Plasma shooty shooty,36,6,6,4,1,,,,"[""heavy"",""breaching""]","{""heavy"":""RS"",""breaching"":5}","[""Plasma""]","[]"
hellfire-plasma-cannonade-maximal-fire,Sustained fire,ranged-profile,Plasma shooty shooty,36,1,7,4,2,,,,"[""heavy"",""blast"",""breaching"",""overload""]","{""heavy"":""RS"",""blast"":5,""breaching"":4,""overload"":1}","[""Plasma""]","[]"
omega-plasma-array-sustained-fire,Maximal fire,ranged-profile,Plasma shooty shooty,36,6,7,4,2,,,,"[""breaching""]","{""breaching"":5}","[""Plasma""]","[]"
omega-plasma-array-maximal-fire,Sustained fire,ranged-profile,Plasma shooty shooty,36,1,8,4,2,,,,"[""blast"",""breaching"",""overload""]","{""blast"":5,""overload"":1,""breaching"":4}","[""Plasma""]","[]"
plasma-gun,Plasma gun,ranged,Plasma shooty shooty,0,0,0,0,0,,,,"[]",,"[""Plasma""]","[""plasma-gun-sustained-fire"",""plasma-gun-maximal-fire""]"
twin-plasma-gun,Twin plasma gun,ranged,Plasma shooty shooty,0,0,0,0,0,,,,"[]",,"[""Plasma""]","[""twin-plasma-gun-sustained-fire"",""twin-plasma-gun-maximal-fire""]"
plasma-bombard,Plasma bombard,ranged,Plasma shooty shooty,0,0,0,0,0,,,,"[]",,"[""Plasma""]","[""plasma-bombard-sustained-fire"",""plasma-bombard-maximal-fire""]"
heavy-plasma-bombard,Heavy plasma bombard,ranged,Plasma shooty shooty,0,0,0,0,0,,,,"[]",,"[""Plasma""]","[""heavy-plasma-bombard-sustained-fire"",""heavy-plasma-bombard-maximal-fire""]"
plasma-cannon,Plasma cannon,ranged,Plasma shooty shooty,0,0,0,0,0,,,,"[]",,"[""Plasma""]","[""plasma-cannon-sustained-fire"",""plasma-cannon-maximal-fire""]"
gravis-plasma-cannon,Gravis plasma cannon,ranged,Plasma shooty shooty,0,0,0,0,0,,,,"[]",,"[""Plasma""]","[""gravis-plasma-cannon-sustained-fire"",""gravis-plasma-cannon-maximal-fire""]"
hellfire-plasma-cannonade,Hellfire plasma carronade,ranged,Plasma shooty shooty,0,0,0,0,0,,,,"[]",,"[""Plasma""]","[""hellfire-plasma-cannonade-sustained-fire"",""hellfire-plasma-cannonade-maximal-fire""]"
omega-plasma-array,Omega plasma array,ranged,Plasma shooty shooty,0,0,0,0,0,,,,"[]",,"[""Plasma""]","[""omega-plasma-array-sustained-fire"",""omega-plasma-array-maximal-fire""]"
