description,id,maxCount,name,options,points,requiresUpgrade,targetModel,targetModelType,targetModels,type
One Lifeward in the unit may carry a vexilla banner. Only one vexilla type may be selected.,lifeward-vexilla-upgrade,1,Lifeward Vexilla Upgrade,"[{""id"":""auxilia-vexilla-option"",""name"":""Auxilia Vexilla"",""description"":""Add an Auxilia Vexilla to one Lifeward"",""points"":5,""addWargear"":""auxilia-vexilla""},{""id"":""cohorts-vexilla-option"",""name"":""Cohorts Vexilla"",""description"":""Add a Cohorts Vexilla to one Lifeward"",""points"":15,""addWargear"":""cohorts-vexilla""}]",,,,lifeward-model,,wargear
One Lifeward in the unit may have a Melta Bomb for anti-armor combat.,lifeward-melta-bomb-upgrade,1,Lifeward Melta Bomb Upgrade,"[{""id"":""melta-bomb-option"",""name"":""Melta Bomb"",""description"":""Add a Melta Bomb to one Lifeward"",""points"":10,""addWeapon"":""melta-bomb""}]",,,,lifeward-model,,weapon
The Auxilia Captain can replace their Charnabal Sabre with a different weapon.,auxilia-captain-weapon-upgrade,1,Auxilia Captain Weapon Upgrade,"[{""id"":""auxilia-captain-thunder-hammer-option"",""name"":""Thunder Hammer"",""description"":""Replace Charnabal Sabre with a Thunder Hammer"",""points"":10,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""thunder-hammer""},{""id"":""auxilia-captain-power-fist-option"",""name"":""Power Fist"",""description"":""Replace Charnabal Sabre with a Power Fist"",""points"":10,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""power-fist""},{""id"":""auxilia-captain-power-sword-option"",""name"":""Power Sword"",""description"":""Replace Charnabal Sabre with a Power Sword"",""points"":5,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""power-sword""}]",,,,auxilia-captain-model,,weapon
The Auxilia Captain can replace their Las Pistol with a different pistol weapon.,auxilia-captain-pistol-upgrade,1,Auxilia Captain Pistol Upgrade,"[{""id"":""auxilia-captain-blast-pistol-option"",""name"":""Blast Pistol"",""description"":""Replace Las Pistol with a Blast Pistol"",""points"":3,""replaceWeapon"":""laspistol"",""addWeapon"":""blast-pistol""},{""id"":""auxilia-captain-needle-pistol-option"",""name"":""Needle Pistol"",""description"":""Replace Las Pistol with a Needle Pistol"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""needle-pistol""},{""id"":""auxilia-captain-volkite-serpenta-option"",""name"":""Volkite Serpenta"",""description"":""Replace Las Pistol with a Volkite Serpenta"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""volkite-serpenta""},{""id"":""auxilia-captain-hand-flamer-option"",""name"":""Hand Flamer"",""description"":""Replace Las Pistol with a Hand Flamer"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""hand-flamer""},{""id"":""auxilia-captain-plasma-pistol-option"",""name"":""Plasma Pistol"",""description"":""Replace Las Pistol with a Plasma Pistol"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""plasma-pistol""}]",,,,auxilia-captain-model,,weapon
Companions can replace their Lasrifle with a Laspistol and Charnabal Sabre.,companion-weapon-upgrade,dependent,Companion Weapon Upgrade,"[{""id"":""companion-weapon-option"",""name"":""Laspistol and Charnabal Sabre"",""description"":""Replace Lasrifle with a Laspistol and Charnabal Sabre"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""lasrifle"",""addWeapon"":""laspistol""},{""replaceWeapon"":""lasrifle"",""addWeapon"":""charnabal-sabre""}]}]",,,,companion-model,,weapon
Companions with Charnabal Sabres can replace them with different melee weapons.,companion-sabre-upgrade,dependent,Companion Sabre Upgrade,"[{""id"":""companion-power-sword-option"",""name"":""Power Sword"",""description"":""Replace Charnabal Sabre with a Power Sword"",""points"":5,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""power-sword""},{""id"":""companion-power-fist-option"",""name"":""Power Fist"",""description"":""Replace Charnabal Sabre with a Power Fist"",""points"":10,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""power-fist""}]",,,,companion-model,,weapon
Companions can replace their Lasrifle with a different pistol weapon.,companion-pistol-upgrade,dependent,Companion Pistol Upgrade,"[{""id"":""companion-blast-pistol-option"",""name"":""Blast Pistol"",""description"":""Replace Lasrifle with a Blast Pistol"",""points"":3,""replaceWeapon"":""lasrifle"",""addWeapon"":""blast-pistol""},{""id"":""companion-needle-pistol-option"",""name"":""Needle Pistol"",""description"":""Replace Lasrifle with a Needle Pistol"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""needle-pistol""},{""id"":""companion-volkite-serpenta-option"",""name"":""Volkite Serpenta"",""description"":""Replace Lasrifle with a Volkite Serpenta"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""volkite-serpenta""},{""id"":""companion-hand-flamer-option"",""name"":""Hand Flamer"",""description"":""Replace Lasrifle with a Hand Flamer"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""hand-flamer""},{""id"":""companion-plasma-pistol-option"",""name"":""Plasma Pistol"",""description"":""Replace Lasrifle with a Plasma Pistol"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""plasma-pistol""}]",,,,companion-model,,weapon
The unit can include up to 5 more Companions.,additional-companions-upgrade,5,Additional Companions,"[{""id"":""additional-companion-option"",""name"":""Additional Companion"",""description"":""Add one Companion to the unit"",""points"":12}]",,,companion-model,,,model-count
Companions with Lasrifles can add bayonets for close combat.,companion-bayonet-upgrade,dependent,Companion Bayonet Upgrade,"[{""id"":""companion-bayonet-option"",""name"":""Bayonet"",""description"":""Add a bayonet to a Companion with a Lasrifle"",""points"":1,""addWeapon"":""bayonet""}]",,,,companion-model,,weapon
Companions with Lasrifles can add blast chargers for enhanced firepower.,companion-blast-charger-upgrade,dependent,Companion Blast Charger Upgrade,"[{""id"":""companion-blast-charger-option"",""name"":""Blast Charger"",""description"":""Add a blast charger to a Companion with a Lasrifle"",""points"":1,""addWeapon"":""blast-charger""}]",,,,companion-model,,weapon
One Companion in the unit may have a Command Vox for enhanced communications.,companion-command-vox-upgrade,1,Companion Command Vox Upgrade,"[{""id"":""companion-command-vox-option"",""name"":""Command Vox"",""description"":""Add a Command Vox to one Companion"",""points"":10,""addWargear"":""command-vox""}]",,,,companion-model,,wargear
One Companion in the unit may have an Augury Scanner for enhanced detection.,companion-augury-scanner-upgrade,1,Companion Augury Scanner Upgrade,"[{""id"":""companion-augury-scanner-option"",""name"":""Augury Scanner"",""description"":""Add an Augury Scanner to one Companion"",""points"":10,""addWargear"":""augury-scanner""}]",,,,companion-model,,wargear
One Companion in the unit may carry a vexilla banner. Only one vexilla type may be selected.,companion-vexilla-upgrade,1,Companion Vexilla Upgrade,"[{""id"":""companion-auxilia-vexilla-option"",""name"":""Auxilia Vexilla"",""description"":""Add an Auxilia Vexilla to one Companion"",""points"":5,""addWargear"":""auxilia-vexilla""},{""id"":""companion-cohorts-vexilla-option"",""name"":""Cohorts Vexilla"",""description"":""Add a Cohorts Vexilla to one Companion"",""points"":15,""addWargear"":""cohorts-vexilla""}]",,,,companion-model,,wargear
One Companion in the unit may have a Melta Bomb for anti-armor combat.,companion-melta-bomb-upgrade,1,Companion Melta Bomb Upgrade,"[{""id"":""companion-melta-bomb-option"",""name"":""Melta Bomb"",""description"":""Add a Melta Bomb to one Companion"",""points"":10,""addWeapon"":""melta-bomb""}]",,,,companion-model,,weapon
The unit can include up to 5 more Veterans.,additional-veterans-upgrade,5,Additional Veterans,"[{""id"":""additional-veteran-option"",""name"":""Additional Veteran"",""description"":""Add one Veteran to the unit"",""points"":7}]",,,veteran-model,,,model-count
The Troop Master can replace their Lasrifle with a Laspistol and Charnabal Sabre.,troop-master-weapon-upgrade,1,Troop Master Weapon Upgrade,"[{""id"":""troop-master-charnabal-laspistol-option"",""name"":""Charnabal Sabre and Laspistol"",""description"":""Replace Lasrifle with Charnabal Sabre and Laspistol"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""lasrifle"",""addWeapon"":""charnabal-sabre""},{""replaceWeapon"":""lasrifle"",""addWeapon"":""laspistol""}]}]",,,,troop-master-model,,weapon
The Troop Master can replace their Lasrifle with a different pistol weapon.,troop-master-pistol-upgrade,1,Troop Master Pistol Upgrade,"[{""id"":""troop-master-blast-pistol-option"",""name"":""Blast Pistol"",""description"":""Replace Lasrifle with a Blast Pistol"",""points"":3,""replaceWeapon"":""lasrifle"",""addWeapon"":""blast-pistol""},{""id"":""troop-master-needle-pistol-option"",""name"":""Needle Pistol"",""description"":""Replace Lasrifle with a Needle Pistol"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""needle-pistol""},{""id"":""troop-master-volkite-serpenta-option"",""name"":""Volkite Serpenta"",""description"":""Replace Lasrifle with a Volkite Serpenta"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""volkite-serpenta""},{""id"":""troop-master-hand-flamer-option"",""name"":""Hand Flamer"",""description"":""Replace Lasrifle with a Hand Flamer"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""hand-flamer""},{""id"":""troop-master-plasma-pistol-option"",""name"":""Plasma Pistol"",""description"":""Replace Lasrifle with a Plasma Pistol"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""plasma-pistol""}]",,,,troop-master-model,,weapon
The Troop Master can add a bayonet for close combat.,troop-master-bayonet-upgrade,1,Troop Master Bayonet Upgrade,"[{""id"":""troop-master-bayonet-option"",""name"":""Bayonet"",""description"":""Add a bayonet to the Troop Master"",""points"":1,""addWeapon"":""bayonet""}]",,,,troop-master-model,,weapon
The Troop Master can add a blast charger for enhanced firepower.,troop-master-blast-charger-upgrade,1,Troop Master Blast Charger Upgrade,"[{""id"":""troop-master-blast-charger-option"",""name"":""Blast Charger"",""description"":""Add a blast charger to the Troop Master"",""points"":1,""addWeapon"":""blast-charger""}]",,,,troop-master-model,,weapon
The Troop Master may have a Command Vox for enhanced communications.,troop-master-command-vox-upgrade,1,Troop Master Command Vox Upgrade,"[{""id"":""troop-master-command-vox-option"",""name"":""Command Vox"",""description"":""Add a Command Vox to the Troop Master"",""points"":10,""addWargear"":""command-vox""}]",,,,troop-master-model,,wargear
The Troop Master may have an Augury Scanner for enhanced detection.,troop-master-augury-scanner-upgrade,1,Troop Master Augury Scanner Upgrade,"[{""id"":""troop-master-augury-scanner-option"",""name"":""Augury Scanner"",""description"":""Add an Augury Scanner to the Troop Master"",""points"":10,""addWargear"":""augury-scanner""}]",,,,troop-master-model,,wargear
The Troop Master may carry a vexilla banner. Only one vexilla type may be selected.,troop-master-vexilla-upgrade,1,Troop Master Vexilla Upgrade,"[{""id"":""troop-master-auxilia-vexilla-option"",""name"":""Auxilia Vexilla"",""description"":""Add an Auxilia Vexilla to the Troop Master"",""points"":5,""addWargear"":""auxilia-vexilla""}]",,,,troop-master-model,,wargear
The Troop Master may have a Melta Bomb for anti-armor combat.,troop-master-melta-bomb-upgrade,1,Troop Master Melta Bomb Upgrade,"[{""id"":""troop-master-melta-bomb-option"",""name"":""Melta Bomb"",""description"":""Add a Melta Bomb to the Troop Master"",""points"":10,""addWeapon"":""melta-bomb""}]",,,,troop-master-model,,weapon
Veterans can replace their Lasrifle with a Laspistol and Charnabal Sabre.,veteran-weapon-upgrade,dependent,Veteran Weapon Upgrade,"[{""id"":""veteran-charnabal-laspistol-option"",""name"":""Charnabal Sabre and Laspistol"",""description"":""Replace Lasrifle with Charnabal Sabre and Laspistol"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""lasrifle"",""addWeapon"":""charnabal-sabre""},{""replaceWeapon"":""lasrifle"",""addWeapon"":""laspistol""}]}]",,,,veteran-model,,weapon
Veterans with Charnabal Sabres can replace them with different melee weapons.,veteran-sabre-upgrade,dependent,Veteran Sabre Upgrade,"[{""id"":""veteran-power-sword-option"",""name"":""Power Sword"",""description"":""Replace Charnabal Sabre with a Power Sword"",""points"":5,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""power-sword""},{""id"":""veteran-power-fist-option"",""name"":""Power Fist"",""description"":""Replace Charnabal Sabre with a Power Fist"",""points"":10,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""power-fist""}]",,veteran-weapon-upgrade,,veteran-model,,weapon
Veterans can replace their Lasrifle with a different pistol weapon.,veteran-pistol-upgrade,dependent,Veteran Pistol Upgrade,"[{""id"":""veteran-blast-pistol-option"",""name"":""Blast Pistol"",""description"":""Replace Lasrifle with a Blast Pistol"",""points"":3,""replaceWeapon"":""lasrifle"",""addWeapon"":""blast-pistol""},{""id"":""veteran-needle-pistol-option"",""name"":""Needle Pistol"",""description"":""Replace Lasrifle with a Needle Pistol"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""needle-pistol""},{""id"":""veteran-volkite-serpenta-option"",""name"":""Volkite Serpenta"",""description"":""Replace Lasrifle with a Volkite Serpenta"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""volkite-serpenta""},{""id"":""veteran-hand-flamer-option"",""name"":""Hand Flamer"",""description"":""Replace Lasrifle with a Hand Flamer"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""hand-flamer""},{""id"":""veteran-plasma-pistol-option"",""name"":""Plasma Pistol"",""description"":""Replace Lasrifle with a Plasma Pistol"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""plasma-pistol""}]",,,,veteran-model,,weapon
Veterans with Lasrifles can add bayonets for close combat.,veteran-bayonet-upgrade,dependent,Veteran Bayonet Upgrade,"[{""id"":""veteran-bayonet-option"",""name"":""Bayonet"",""description"":""Add a bayonet to a Veteran with a Lasrifle"",""points"":1,""addWeapon"":""bayonet""}]",,,,veteran-model,,weapon
Veterans with Lasrifles can add blast chargers for enhanced firepower.,veteran-blast-charger-upgrade,dependent,Veteran Blast Charger Upgrade,"[{""id"":""veteran-blast-charger-option"",""name"":""Blast Charger"",""description"":""Add a blast charger to a Veteran with a Lasrifle"",""points"":1,""addWeapon"":""blast-charger""}]",,,,veteran-model,,weapon
One Veteran in the unit may have a Command Vox for enhanced communications.,veteran-command-vox-upgrade,1,Veteran Command Vox Upgrade,"[{""id"":""veteran-command-vox-option"",""name"":""Command Vox"",""description"":""Add a Command Vox to one Veteran"",""points"":10,""addWargear"":""command-vox""}]",,,,veteran-model,,wargear
One Veteran in the unit may have an Augury Scanner for enhanced detection.,veteran-augury-scanner-upgrade,1,Veteran Augury Scanner Upgrade,"[{""id"":""veteran-augury-scanner-option"",""name"":""Augury Scanner"",""description"":""Add an Augury Scanner to one Veteran"",""points"":10,""addWargear"":""augury-scanner""}]",,,,veteran-model,,wargear
One Veteran in the unit may carry a vexilla banner. Only one vexilla type may be selected.,veteran-vexilla-upgrade,1,Veteran Vexilla Upgrade,"[{""id"":""veteran-auxilia-vexilla-option"",""name"":""Auxilia Vexilla"",""description"":""Add an Auxilia Vexilla to one Veteran"",""points"":5,""addWargear"":""auxilia-vexilla""}]",,,,veteran-model,,wargear
One Veteran in the unit may have a Melta Bomb for anti-armor combat.,veteran-melta-bomb-upgrade,1,Veteran Melta Bomb Upgrade,"[{""id"":""veteran-melta-bomb-option"",""name"":""Melta Bomb"",""description"":""Add a Melta Bomb to one Veteran"",""points"":10,""addWeapon"":""melta-bomb""}]",,,,veteran-model,,weapon
The unit can include up to 5 more Veletarii.,additional-veletarii-upgrade,5,Additional Veletarii,"[{""id"":""additional-veletarii-option"",""name"":""Additional Veletarii"",""description"":""Add one Veletarii to the unit"",""points"":8}]",,,veletarii-model,,,model-count
The First Prime can replace their Volkite Charger with a Laspistol and Charnabal Tabar.,first-prime-weapon-upgrade,1,First Prime Weapon Upgrade,"[{""id"":""first-prime-charnabal-laspistol-option"",""name"":""Charnabal Tabar and Laspistol"",""description"":""Replace Volkite Charger with Charnabal Tabar and Laspistol"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""volkite-charger"",""addWeapon"":""charnabal-tabar""},{""replaceWeapon"":""volkite-charger"",""addWeapon"":""laspistol""}]}]",,,,first-prime-model,,weapon
The First Prime can replace their Charnabal Tabar with different melee weapons.,first-prime-tabar-upgrade,1,First Prime Tabar Upgrade,"[{""id"":""first-prime-thunder-hammer-option"",""name"":""Thunder Hammer"",""description"":""Replace Charnabal Tabar with a Thunder Hammer"",""points"":10,""weaponReplacements"":[{""replaceWeapon"":""charnabal-tabar"",""addWeapon"":""thunder-hammer""}]},{""id"":""first-prime-power-sword-option"",""name"":""Power Sword"",""description"":""Replace Charnabal Tabar with a Power Sword"",""points"":5,""weaponReplacements"":[{""replaceWeapon"":""charnabal-tabar"",""addWeapon"":""power-sword""}]},{""id"":""first-prime-power-fist-option"",""name"":""Power Fist"",""description"":""Replace Charnabal Tabar with a Power Fist"",""points"":10,""weaponReplacements"":[{""replaceWeapon"":""charnabal-tabar"",""addWeapon"":""power-fist""}]}]",,first-prime-weapon-upgrade,,first-prime-model,,weapon
The First Prime can replace their Laspistol with different pistol weapons.,first-prime-pistol-upgrade,1,First Prime Pistol Upgrade,"[{""id"":""first-prime-blast-pistol-option"",""name"":""Blast Pistol"",""description"":""Replace Laspistol with a Blast Pistol"",""points"":3,""replaceWeapon"":""laspistol"",""addWeapon"":""blast-pistol""},{""id"":""first-prime-needle-pistol-option"",""name"":""Needle Pistol"",""description"":""Replace Laspistol with a Needle Pistol"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""needle-pistol""},{""id"":""first-prime-volkite-serpenta-option"",""name"":""Volkite Serpenta"",""description"":""Replace Laspistol with a Volkite Serpenta"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""volkite-serpenta""},{""id"":""first-prime-hand-flamer-option"",""name"":""Hand Flamer"",""description"":""Replace Laspistol with a Hand Flamer"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""hand-flamer""},{""id"":""first-prime-plasma-pistol-option"",""name"":""Plasma Pistol"",""description"":""Replace Laspistol with a Plasma Pistol"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""plasma-pistol""}]",,first-prime-weapon-upgrade,,first-prime-model,,weapon
Veletarii can replace their Volkite Charger with a Storm Axe.,veletarii-weapon-upgrade,dependent,Veletarii Weapon Upgrade,"[{""id"":""veletarii-storm-axe-option"",""name"":""Storm Axe"",""description"":""Replace Volkite Charger with a Storm Axe"",""points"":3,""replaceWeapon"":""volkite-charger"",""addWeapon"":""storm-axe""}]",,,,veletarii-model,,weapon
One Veletarii in the unit may have a Command Vox for enhanced communications.,veletarii-command-vox-upgrade,1,Veletarii Command Vox Upgrade,"[{""id"":""veletarii-command-vox-option"",""name"":""Command Vox"",""description"":""Add a Command Vox to one Veletarii"",""points"":10,""addWargear"":""command-vox""}]",,,,veletarii-model,,wargear
One Veletarii in the unit may have an Augury Scanner for enhanced detection.,veletarii-augury-scanner-upgrade,1,Veletarii Augury Scanner Upgrade,"[{""id"":""veletarii-augury-scanner-option"",""name"":""Augury Scanner"",""description"":""Add an Augury Scanner to one Veletarii"",""points"":10,""addWargear"":""augury-scanner""}]",,,,veletarii-model,,wargear
One Veletarii in the unit may carry an Auxilia Vexilla banner.,veletarii-vexilla-upgrade,1,Veletarii Vexilla Upgrade,"[{""id"":""veletarii-auxilia-vexilla-option"",""name"":""Auxilia Vexilla"",""description"":""Add an Auxilia Vexilla to one Veletarii"",""points"":5,""addWargear"":""auxilia-vexilla""}]",,,,veletarii-model,,wargear
The unit can include up to 4 additional Hermes Pathfinders.,additional-hermes-pathfinders-upgrade,4,Additional Hermes Pathfinders,"[{""id"":""additional-hermes-pathfinders-option"",""name"":""Additional Hermes Pathfinder"",""description"":""Add one Hermes Pathfinder to the unit"",""points"":18}]",18,,hermes-pathfinder-model,,,model-count
Any model in the unit can replace their Multi-laser with different weapon options.,hermes-weapon-upgrade,dependent,Hermes Weapon Upgrade,"[{""id"":""hermes-volkite-caliver-option"",""name"":""Volkite Caliver"",""description"":""Replace Multi-laser with a Volkite Caliver"",""points"":0,""replaceWeapon"":""multi-laser"",""addWeapon"":""volkite-caliver""},{""id"":""hermes-heavy-flamer-option"",""name"":""Heavy Flamer"",""description"":""Replace Multi-laser with a Heavy Flamer"",""points"":3,""replaceWeapon"":""multi-laser"",""addWeapon"":""heavy-flamer""},{""id"":""hermes-grenade-launcher-option"",""name"":""Hermes Grenade Launcher"",""description"":""Replace Multi-laser with a Hermes Grenade Launcher"",""points"":5,""replaceWeapon"":""multi-laser"",""addWeapon"":""hermes-grenade-launcher""}]",,,,hermes-lead-model,,weapon
Any Hermes Pathfinder in the unit can replace their Multi-laser with different weapon options.,hermes-pathfinder-weapon-upgrade,dependent,Hermes Pathfinder Weapon Upgrade,"[{""id"":""hermes-pathfinder-volkite-caliver-option"",""name"":""Volkite Caliver"",""description"":""Replace Multi-laser with a Volkite Caliver"",""points"":0,""replaceWeapon"":""multi-laser"",""addWeapon"":""volkite-caliver""},{""id"":""hermes-pathfinder-heavy-flamer-option"",""name"":""Heavy Flamer"",""description"":""Replace Multi-laser with a Heavy Flamer"",""points"":3,""replaceWeapon"":""multi-laser"",""addWeapon"":""heavy-flamer""},{""id"":""hermes-pathfinder-grenade-launcher-option"",""name"":""Hermes Grenade Launcher"",""description"":""Replace Multi-laser with a Hermes Grenade Launcher"",""points"":5,""replaceWeapon"":""multi-laser"",""addWeapon"":""hermes-grenade-launcher""}]",,,,hermes-pathfinder-model,,weapon
