id,name,description,hasValue,longText,shortText,type
duellists-edge,Duellist's Edge,This weapon provides enhanced capabilities in duels,true,"Duellist's Edge represents the weapon's enhanced capabilities in one-on-one combat situations. Weapons with this rule are particularly effective when used against single targets or in dueling scenarios, providing additional benefits that make them superior choices for close combat against individual opponents.",This weapon provides enhanced capabilities in duels.,special-rule
searchlight,Searchlight,Illuminates targets for improved accuracy,false,A searchlight is a powerful illumination device mounted on vehicles that can light up targets in darkness or poor visibility conditions. This illumination improves targeting accuracy and can reveal hidden enemies. Searchlights are particularly useful in night fighting or in environments with limited visibility.,Provides illumination for improved targeting accuracy.,wargear
dozer-blade,Dozer Blade,Reinforced blade for clearing obstacles and terrain,false,"A dozer blade is a reinforced blade mounted on the front of vehicles that allows them to clear obstacles, demolish barricades, and traverse difficult terrain more easily. The blade can be used to push aside debris, clear paths through rubble, or create makeshift ramps. Dozer blades are particularly useful for engineering vehicles and those operating in urban or heavily fortified environments.",Allows the vehicle to clear obstacles and difficult terrain.,wargear
flare-shield,Flare Shield,Defensive shield that provides protection against incoming fire,false,"A flare shield is a defensive energy shield that provides protection against incoming fire and attacks. The shield can deflect or absorb damage from various types of weapons, making the vehicle more survivable in combat. Flare shields are advanced defensive systems that represent the pinnacle of protective technology available to vehicle crews.",Provides defensive protection against incoming attacks.,wargear
flare-launchers,Flare Launchers,Ranged weapon that can deploy flares to illuminate targets,false,"Flare Launchers represents a ranged weapon that can deploy flares to illuminate targets. Units with this rule can use their weapon to deploy flares, which can be used to illuminate targets or create a temporary beacon. Flare launchers are particularly useful for providing illumination in dark or poorly lit environments, allowing units to see their targets more easily. This ability is particularly valuable for units that operate in low-light conditions or need to provide illumination for other units.",This unit can deploy flares to illuminate targets.,wargear
template-hellstorm,Template (Hellstorm),This weapon can be used to deploy Hellstorm templates,false,"Template (Hellstorm) represents the ability of a weapon to deploy Hellstorm templates. Weapons with this rule can be used to deploy Hellstorm templates, which can be used to create a temporary Hellstorm zone. Hellstorm templates are particularly useful for providing cover and protection from enemy fire. This ability is particularly valuable for units that need to create a temporary Hellstorm zone to protect themselves or other units.",This weapon can be used to deploy Hellstorm templates.,special-rule
vanguard,Vanguard,This unit can deploy ahead of the main force,false,"Vanguard represents the ability of a unit to deploy ahead of the main force, allowing them to secure objectives, scout enemy positions, or establish forward positions before the rest of the army arrives. Vanguard units are typically fast-moving, lightly armored troops who excel at reconnaissance and forward operations.",This unit can deploy ahead of the main force.,special-rule
implacable-advance,Implacable Advance,This unit can advance steadily despite enemy fire,false,Implacable Advance represents the ability of a unit to advance steadily toward their objectives despite heavy enemy fire and casualties. These units are particularly determined and can maintain their forward momentum even when taking significant losses.,This unit can advance steadily despite enemy fire.,special-rule
officer-of-the-line,Officer of the Line,This unit provides command bonuses to nearby troops,false,Officer of the Line represents a command officer who provides leadership and tactical bonuses to nearby friendly units. These officers are trained in battlefield command and can coordinate multiple units effectively.,This unit provides command bonuses to nearby troops.,special-rule
rapid-fire,Rapid Fire,This weapon can fire multiple shots rapidly,false,"Rapid Fire represents weapons that can fire multiple shots in quick succession, increasing their effectiveness against multiple targets or improving their chances of hitting a single target.",This weapon can fire multiple shots rapidly.,special-rule
first-rank-fire-second-rank-fire,"First Rank Fire, Second Rank Fire",This unit can coordinate fire between multiple ranks,false,"First Rank Fire, Second Rank Fire represents the ability of a unit to coordinate their fire between multiple ranks, allowing for sustained volleys and improved firepower.",This unit can coordinate fire between multiple ranks.,special-rule
bulky,Bulky,This model is particularly large and difficult to transport,false,"Bulky represents models that are particularly large, heavy, or unwieldy, making them difficult to transport or maneuver in certain situations.",This model is particularly large and difficult to transport.,special-rule
move-through-cover,Move Through Cover,This unit can move through difficult terrain more easily,false,"Move Through Cover represents the ability of a unit to traverse difficult terrain, obstacles, and cover more easily than standard units.",This unit can move through difficult terrain more easily.,special-rule
slow-and-purposeful,Slow and Purposeful,This unit moves slowly but with great determination,false,"Slow and Purposeful represents units that move at a reduced pace but with great determination and purpose, often being more difficult to stop or redirect.",This unit moves slowly but with great determination.,special-rule
support-unit,Support Unit,This unit provides support to other friendly units,false,"Support Unit represents units that are designed to provide various forms of support to other friendly units, such as fire support, medical aid, or logistical assistance.",This unit provides support to other friendly units.,special-rule
rapier-section,Rapier Section,This unit operates as part of a specialized artillery section,false,"Rapier Section represents units that operate as part of a specialized artillery section, with enhanced coordination and tactical capabilities.",This unit operates as part of a specialized artillery section.,special-rule
heedless,Heedless,This unit ignores certain negative effects,false,"Heedless represents units that can ignore certain negative effects, penalties, or restrictions that would normally apply to other units.",This unit ignores certain negative effects.,special-rule
bitter-duty,Bitter Duty,This unit performs their duty despite great hardship,false,"Bitter Duty represents units that continue to perform their assigned tasks and duties despite facing great hardship, casualties, or adverse conditions.",This unit performs their duty despite great hardship.,special-rule
expendable,Expendable,This unit is considered expendable in tactical calculations,false,"Expendable represents units that are considered expendable in tactical calculations, often being used for dangerous missions or as sacrificial units.",This unit is considered expendable in tactical calculations.,special-rule
feel-no-pain,Feel No Pain,This unit can ignore certain wounds or damage,false,"Feel No Pain represents the ability of a unit to ignore or shrug off certain wounds, damage, or injuries that would normally incapacitate other units.",This unit can ignore certain wounds or damage.,special-rule
impact,Impact,This unit causes additional damage on charges,false,"Impact represents the ability of a unit to cause additional damage or effects when charging into combat, often due to their size, weight, or momentum.",This unit causes additional damage on charges.,special-rule
outflank,Outflank,This unit can deploy from unexpected directions,false,"Outflank represents the ability of a unit to deploy from unexpected directions or positions, allowing them to attack the enemy from the flank or rear.",This unit can deploy from unexpected directions.,special-rule
pre-emptive-strike,Pre-emptive Strike,This unit can attack before the enemy,false,"Pre-emptive Strike represents the ability of a unit to launch attacks before the enemy can react, often due to superior speed, reflexes, or tactical positioning.",This unit can attack before the enemy.,special-rule
precision-bombardment,Precision Bombardment,This unit can deliver highly accurate artillery fire,false,"Precision Bombardment represents the ability of a unit to deliver highly accurate artillery fire, often with reduced scatter or improved targeting.",This unit can deliver highly accurate artillery fire.,special-rule
armoured-warfare,Armoured Warfare,This unit is specialized in armored combat,false,"Armoured Warfare represents units that are specialized in armored combat, with enhanced capabilities when fighting against or alongside other armored units.",This unit is specialized in armored combat.,special-rule
auto-repair,Auto-repair,This unit can repair itself automatically,false,Auto-repair represents the ability of a unit to automatically repair damage or restore functionality without external assistance.,This unit can repair itself automatically.,special-rule
light-transport,Light Transport,This unit can transport other units,false,"Light Transport represents units that are designed to transport other units, providing mobility and tactical flexibility.",This unit can transport other units.,special-rule
independent-fire,Independent Fire,This unit can fire independently of other units,false,"Independent Fire represents the ability of a unit to fire their weapons independently of other units, without requiring coordination or support.",This unit can fire independently of other units.,special-rule
explodes,Explodes,This unit can explode when destroyed,false,"Explodes represents the ability of a unit to cause an explosion when destroyed, potentially damaging nearby units or terrain.",This unit can explode when destroyed.,special-rule
suppressive,Suppressive,This weapon can suppress enemy units,true,"Suppressive represents the ability of a weapon to suppress enemy units, reducing their effectiveness or preventing them from taking certain actions.",This weapon can suppress enemy units.,special-rule
indirect-fire,Indirect Fire,This weapon can fire over obstacles,false,"Indirect Fire represents the ability of a weapon to fire over obstacles, cover, or terrain that would normally block line of sight.",This weapon can fire over obstacles.,special-rule
melta,Melta,This weapon is particularly effective at close range,true,"Melta represents weapons that are particularly effective at close range, often having enhanced damage or armor penetration when used against nearby targets.",This weapon is particularly effective at close range.,special-rule
poisoned,Poisoned,This weapon delivers poisoned attacks,true,"Poisoned represents weapons that deliver poisoned attacks, which can cause additional effects or damage over time.",This weapon delivers poisoned attacks.,special-rule
pinning,Pinning,This weapon can pin enemy units in place,true,"Pinning represents the ability of a weapon to pin enemy units in place, preventing them from moving or taking certain actions.",This weapon can pin enemy units in place.,special-rule
rending,Rending,This weapon can tear through armor,true,"Rending represents weapons that can tear through armor, often having enhanced armor penetration or the ability to bypass certain types of protection.",This weapon can tear through armor.,special-rule
shred,Shred,This weapon can shred through targets,true,"Shred represents weapons that can shred through targets, often causing additional damage or having enhanced effectiveness against certain types of enemies.",This weapon can shred through targets.,special-rule
template,Template,This weapon uses a template for area effect,false,"Template represents weapons that use a template to determine their area of effect, allowing them to hit multiple targets within a specific area.",This weapon uses a template for area effect.,special-rule
armourbane,Armourbane,This weapon is particularly effective against armored targets,false,"Armourbane represents weapons that are particularly effective against armored targets, often having enhanced damage or armor penetration capabilities.",This weapon is particularly effective against armored targets.,special-rule
detonation,Detonation,This weapon explodes on impact,false,"Detonation represents weapons that explode on impact, causing area damage or additional effects beyond the initial hit.",This weapon explodes on impact.,special-rule
panic,Panic,This weapon can cause panic in enemy units,true,"Panic represents the ability of a weapon to cause panic in enemy units, potentially causing them to flee or lose their effectiveness.",This weapon can cause panic in enemy units.,special-rule
heavy,Heavy,This weapon is heavy and difficult to move,true,"Heavy represents weapons that are heavy and difficult to move, often requiring special equipment or reducing the mobility of the unit carrying them.",This weapon is heavy and difficult to move.,special-rule
blast,Blast,This weapon causes area damage,true,"Blast represents weapons that cause area damage, affecting multiple targets within a specific radius of the impact point.",This weapon causes area damage.,special-rule
ordnance,Ordnance,This weapon is classified as ordnance,true,"Ordnance represents weapons that are classified as heavy artillery or specialized munitions, often having unique rules or restrictions.",This weapon is classified as ordnance.,special-rule
stun,Stun,This weapon can stun enemy units,true,"Stun represents the ability of a weapon to stun enemy units, potentially reducing their effectiveness or preventing them from taking certain actions.",This weapon can stun enemy units.,special-rule
overload,Overload,This weapon can overload for increased power,true,"Overload represents the ability of a weapon to operate at increased power levels, often at the cost of reliability or safety.",This weapon can overload for increased power.,special-rule
barrage,Barrage,This weapon can fire in a barrage pattern,true,"Barrage represents the ability of a weapon to fire in a barrage pattern, covering a large area with multiple shots or projectiles.",This weapon can fire in a barrage pattern.,special-rule
limited,Limited,This weapon has limited ammunition,true,"Limited represents weapons that have limited ammunition or uses, restricting how often they can be fired or deployed.",This weapon has limited ammunition.,special-rule
shock,Shock,This weapon can cause shock effects,true,"Shock represents the ability of a weapon to cause shock effects, potentially stunning, disorienting, or otherwise affecting enemy units.",This weapon can cause shock effects.,special-rule
