characteristics,description,id,name,specialRuleValues,specialRules,subType,type,upgradeGroups,wargear,weapons
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":2,""wounds"":1,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":7,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",A Veletarii in the Veletaris Command Section.,veletarii-model,Veletarii,"{}","[]",,Infantry,"[{""id"":""veletarii-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Volkite Charger with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-weapon-upgrade""]},{""id"":""veletarii-wargear-options"",""name"":""Wargear Options"",""description"":""Wargear options for Veletarii"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-command-vox-upgrade"",""veletarii-augury-scanner-upgrade"",""veletarii-vexilla-upgrade""]}]","[]","[""volkite-charger"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":2,""wounds"":1,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":7,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",A Veletarii in the Veletaris Vanguard Section.,veletarii-vanguard-model,Veletarii Vanguard,"{}","[]",,Infantry,"[{""id"":""veletaris-vanguard-vox-upgrade-group"",""name"":""Vox Options"",""description"":""Vox options for Veletaris Vanguard Section"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletaris-vanguard-vox-upgrade""]},{""id"":""veletaris-vanguard-vexilla-upgrade-group"",""name"":""Vexilla Options"",""description"":""Vexilla options for Veletaris Vanguard Section"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletaris-vanguard-vexilla-upgrade""]}]","[]","[""heavy-flamer"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":2,""wounds"":1,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":8,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",A Veletarii Prime leading a Veletaris Storm Section.,veletarii-prime-model,Veletarii Prime,"{}","[]",Sergeant,Infantry,"[{""id"":""veletarii-prime-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Volkite Charger with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-prime-weapon-upgrade""]},{""id"":""veletarii-prime-tabar-upgrade-group"",""name"":""Tabar Options"",""description"":""Replace the Charnabal Tabar with different melee weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-prime-tabar-upgrade""]},{""id"":""veletarii-prime-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Laspistol with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-prime-pistol-upgrade""]}]","[]","[""volkite-charger"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":2,""wounds"":1,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":8,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",A Veletarii Prime leading a Veletaris Vanguard Section.,veletarii-vanguard-prime-model,Veletarii Vanguard Prime,"{}","[]",Sergeant,Infantry,"[{""id"":""veletarii-vanguard-prime-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Heavy Flamer with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-vanguard-prime-weapon-upgrade""]},{""id"":""veletarii-vanguard-prime-tabar-upgrade-group"",""name"":""Tabar Options"",""description"":""Replace the Charnabal Tabar with different melee weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-vanguard-prime-tabar-upgrade""]},{""id"":""veletarii-vanguard-prime-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Laspistol with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-vanguard-prime-pistol-upgrade""]}]","[]","[""heavy-flamer"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":1,""wounds"":1,""weaponSkill"":3,""ballisticSkill"":3,""leadership"":7,""willpower"":6,""cool"":7,""intelligence"":7,""armourSave"":4,""invulnerableSave"":null}",An Auxilia Sergeant leading a Lasrifle Section.,auxilia-sergeant-model,Auxilia Sergeant,"{}","[]",Sergeant,Infantry,"[{""id"":""auxilia-sergeant-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Lasrifle with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""auxilia-sergeant-weapon-upgrade""]},{""id"":""auxilia-sergeant-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Lasrifle with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""auxilia-sergeant-pistol-upgrade""]},{""id"":""auxilia-sergeant-weapon-additions"",""name"":""Weapon Additions"",""description"":""Additional weapons for Auxilia Sergeants with Lasrifles"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""auxilia-sergeant-bayonet-upgrade"",""auxilia-sergeant-blast-charger-upgrade"",""auxilia-sergeant-melta-bomb-upgrade""]}]","[]","[""lasrifle"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":1,""wounds"":1,""weaponSkill"":3,""ballisticSkill"":3,""leadership"":6,""willpower"":6,""cool"":6,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",An Auxiliary in the Lasrifle Section.,auxiliary-model,Auxiliary,"{}","[]",,Infantry,"[{""id"":""auxiliary-weapon-additions"",""name"":""Weapon Additions"",""description"":""Additional weapons for Auxiliaries with Lasrifles"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""auxiliary-bayonet-upgrade"",""auxiliary-blast-charger-upgrade""]},{""id"":""auxiliary-wargear-options"",""name"":""Wargear Options"",""description"":""Wargear options for Auxiliaries"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""auxiliary-vox-upgrade"",""auxiliary-vexilla-upgrade""]}]","[]","[""lasrifle"",""frag-grenades"",""krak-grenades""]"
"{""movement"":8,""strength"":5,""toughness"":5,""initiative"":3,""attacks"":1,""wounds"":2,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":7,""willpower"":6,""cool"":9,""intelligence"":6,""armourSave"":3,""invulnerableSave"":null}",A Hermes Veletaris Sentinel in the Hermes Veletaris Squadron.,hermes-veletaris-sentinel-model,Hermes Veletaris Sentinel,"{""bulky"":2,""vanguard"":2}","[""bulky"",""implacable-advance"",""move-through-cover"",""vanguard""]",,Cavalry,"[{""id"":""hermes-veletaris-sentinel-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Volkite Caliver with different weapon options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""hermes-veletaris-sentinel-weapon-upgrade""]}]","[]","[""volkite-caliver"",""frag-grenades"",""krak-grenades""]"
"{""movement"":10,""ballisticSkill"":3,""frontArmour"":12,""sideArmour"":12,""rearArmour"":10,""hullPoints"":5,""transportCapacity"":null}",A Basilisk Artillery Tank.,basilisk-model,Basilisk,"{}","[]",,Vehicle,"[{""id"":""basilisk-pintle-weapon-upgrade-group"",""name"":""Pintle Weapon Options"",""description"":""Add pintle-mounted weapons to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""basilisk-pintle-weapon-upgrade""]},{""id"":""basilisk-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Add various wargear options to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""basilisk-hunter-killer-missile-upgrade"",""basilisk-dozer-blade-upgrade"",""basilisk-searchlight-upgrade""]}]","[]","[{""id"":""earthshaker-cannon"",""mount"":""Centreline Mounted""}]"
"{""movement"":10,""ballisticSkill"":3,""frontArmour"":12,""sideArmour"":12,""rearArmour"":10,""hullPoints"":5,""transportCapacity"":null}",A Medusa Artillery Tank.,medusa-model,Medusa,"{}","[]",,Vehicle,"[{""id"":""medusa-pintle-weapon-upgrade-group"",""name"":""Pintle Weapon Options"",""description"":""Add pintle-mounted weapons to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""medusa-pintle-weapon-upgrade""]},{""id"":""medusa-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Add various wargear options to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""medusa-hunter-killer-missile-upgrade"",""medusa-dozer-blade-upgrade"",""medusa-searchlight-upgrade""]}]","[]","[{""id"":""medusa-mortar"",""mount"":""Centreline Mounted""}]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":1,""wounds"":1,""weaponSkill"":3,""ballisticSkill"":3,""leadership"":6,""willpower"":6,""cool"":7,""intelligence"":6,""armourSave"":3,""invulnerableSave"":null}",A Rapier Gunner in the Rapier Section.,rapier-gunner-model,Rapier Gunner,"{""support-unit"":1}","[""slow-and-purposeful"",""support-unit"",""rapier-section""]",Sergeant,Infantry,"[]","[]","[""lasrifle"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":4,""toughness"":6,""initiative"":1,""attacks"":0,""wounds"":3,""weaponSkill"":1,""ballisticSkill"":3,""leadership"":6,""willpower"":6,""cool"":7,""intelligence"":1,""armourSave"":3,""invulnerableSave"":null}",A Rapier Carrier in the Rapier Section.,rapier-carrier-model,Rapier Carrier,"{""support-unit"":1,""bulky"":4}","[""slow-and-purposeful"",""support-unit"",""rapier-section"",""bulky""]",,Infantry,"[{""id"":""rapier-carrier-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Gravis Multi-Laser Battery with different weapon options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""rapier-carrier-weapon-upgrade""]}]","[]","[""gravis-multi-laser-battery""]"
"{""movement"":7,""strength"":5,""toughness"":5,""initiative"":2,""attacks"":4,""wounds"":4,""weaponSkill"":4,""ballisticSkill"":2,""leadership"":12,""willpower"":6,""cool"":10,""intelligence"":2,""armourSave"":4,""invulnerableSave"":null}",A Charonite Ogryn in the Charonite Ogryn Section.,charonite-ogryn-model,Charonite Ogryn,"{""bulky"":4,""expendable"":2,""feel-no-pain"":5,""impact"":""A""}","[""heedless"",""bitter-duty"",""bulky"",""expendable"",""feel-no-pain"",""impact""]",Skirmish,Infantry,"[]","[]","[""charonite-claws""]"
"{""movement"":10,""strength"":5,""toughness"":5,""initiative"":3,""attacks"":2,""wounds"":3,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":8,""willpower"":7,""cool"":9,""intelligence"":7,""armourSave"":4,""invulnerableSave"":null}",A Hermes Lead in the Hermes Command Section.,hermes-lead-model,Hermes Lead,"{""bulky"":2}","[""bulky"",""implacable-advance"",""move-through-cover"",""outflank"",""pre-emptive-strike""]","Sergeant, Light",Cavalry,"[{""id"":""hermes-lead-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Multi-laser with different weapon options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""hermes-weapon-upgrade""]}]","[]","[""multi-laser"",""frag-grenades"",""krak-grenades""]"
"{""movement"":10,""strength"":5,""toughness"":5,""initiative"":3,""attacks"":1,""wounds"":2,""weaponSkill"":3,""ballisticSkill"":4,""leadership"":7,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",A Hermes Pathfinder in the Hermes Command Section.,hermes-pathfinder-model,Hermes Pathfinder,"{""bulky"":2}","[""bulky"",""implacable-advance"",""move-through-cover"",""outflank""]",Light,Cavalry,"[{""id"":""hermes-pathfinder-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Multi-laser with different weapon options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""hermes-pathfinder-weapon-upgrade""]}]","[]","[""multi-laser"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":1,""wounds"":2,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":8,""willpower"":7,""cool"":8,""intelligence"":7,""armourSave"":4,""invulnerableSave"":null}",An Ordnance Master in the Artillery Command Section.,ordnance-master-model,Ordnance Master,,"[""precision-bombardment""]",Sergeant,Infantry,"[{""id"":""ordnance-master-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Lasrifle with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""ordnance-master-weapon-upgrade""]},{""id"":""ordnance-master-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Laspistol with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""ordnance-master-pistol-upgrade""]},{""id"":""ordnance-master-weapon-additions"",""name"":""Weapon Additions"",""description"":""Add bayonet and blast charger options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""ordnance-master-bayonet-upgrade"",""ordnance-master-blast-charger-upgrade""]}]","[]","[""lasrifle"",""frag-grenades"",""krak-grenades""]"
